BSSID;SSID;room;AVG(level);variance;stddev
00:1b:90:76:d3:f0;eduroam;C6_AISLE6;-47.77222222;727.8807705;26.97926557
00:1b:90:76:d3:f0;eduroam;C7_AISLE7;-58.90833333;259.3372351;16.10395092
00:26:5a:a9:99:46;mfold-dlink;C6_AISLE6;-67.32142857;81.41219703;9.022870776
5c:96:9d:65:76:8d;SLDE-™-2;C7_AISLE7;-68.93333333;54.5696823;7.387129504
20:c9:d0:18:43:f3;sape;C7_AISLE7;-69.525;51.22188825;7.156946852
00:25:9c:ca:87:ee;mfold-linksys;C6_AISLE6;-70.03468208;44.18281048;6.647015155
20:c9:d0:18:43:f3;sape;C6_AISLE6;-73.93333333;17.45553847;4.177982584
00:26:5a:a9:99:46;mfold-dlink;C7_AISLE7;-75.26126126;14.1953116;3.767666599
1c:aa:07:7b:39:10;eduroam;C7_AISLE7;-76.15384615;11.35801499;3.370165425
5c:d9:98:e3:e6:c4;P2P-Next;C7_AISLE7;-76.24166667;14.20690688;3.769205073
5c:96:9d:65:76:8d;SLDE-™-2;C6_AISLE6;-76.5;19.75024093;4.444124315
00:22:f7:20:a1:98;C150BRS4;C6_AISLE6;-76.55;18.48837727;4.299811306
1c:aa:07:6e:31:a0;eduroam;C7_AISLE7;-77.54;12.06125457;3.472931697
00:25:9c:ca:87:ee;mfold-linksys;C7_AISLE7;-78.10619469;30.67001891;5.538051906
1c:aa:07:7b:28:00;eduroam;C7_AISLE7;-79;18.71261346;4.325807839
1c:aa:07:7b:28:00;eduroam;C6_AISLE6;-79.52;24.85145361;4.985123229
1c:aa:07:6e:31:a0;eduroam;C6_AISLE6;-80;28.36422914;5.325807839
1c:aa:07:7b:39:10;eduroam;C6_AISLE6;-80;28.36422914;5.325807839
5c:d9:98:e3:e6:c4;P2P-Next;C6_AISLE6;-81.04458599;55.19776398;7.429519768
b8:be:bf:b7:7c:40;eduroam;C6_AISLE6;-81.5;48.84165265;6.988680323
78:e4:00:dc:ca:0e;P2PROSHANGUPTA-PC;C7_AISLE7;-82.15;69.04853618;8.309544884
00:22:f7:20:a1:98;C150BRS4;C7_AISLE7;-82.3220339;69.25018418;8.321669555
5c:96:9d:65:76:8e;SLDE-™-2 5GHz;C7_AISLE7;-84.20555556;125.9101906;11.22097102
00:0c:f6:6c:cf:94;NaoNet;C7_AISLE7;-84.84482759;108.6878614;10.42534706
00:0c:f6:a3:21:98;Sitecoma32198;C6_AISLE6;-85.54807692;124.8736738;11.17468898
78:e4:00:dc:ca:0e;P2PROSHANGUPTA-PC;C6_AISLE6;-86.40740741;144.5393963;12.02245384
1c:af:f7:18:0e:4a;SANDER;C7_AISLE7;-87.4;163.3861852;12.78226056
1c:aa:07:6e:31:af;eduroam;C7_AISLE7;-87.75;197.6642506;14.05931188
98:f5:37:5b:55:36;H220N5B5536;C7_AISLE7;-88;177.5771546;13.32580784
1c:aa:07:7b:28:0f;eduroam;C6_AISLE6;-88.05;183.5097353;13.54657652
00:0c:f6:6c:cf:94;NaoNet;C6_AISLE6;-88.17647059;184.5744985;13.58581976
00:19:aa:76:70:00;;C7_AISLE7;-88.18181818;184.2410847;13.57354356
00:23:6c:8a:47:70;VaLi;C7_AISLE7;-88.6;197.768124;14.06300551
00:0c:f6:a3:21:98;Sitecoma32198;C7_AISLE7;-88.60526316;197.2083956;14.04309067
1c:aa:07:7b:28:0f;eduroam;C7_AISLE7;-89;205.2287702;14.32580784
98:f5:37:5b:55:36;H220N5B5536;C6_AISLE6;-89;205.2287702;14.32580784
00:0c:f6:c2:d1:9c;SitecomC2D19C;C7_AISLE7;-90;234.8803859;15.32580784
1c:aa:07:6e:31:af;eduroam;C6_AISLE6;-91;266.5320016;16.32580784
64:70:02:6b:c1:82;KVZ_Nieuwer;C7_AISLE7;-91;266.5320016;16.32580784
5c:96:9d:65:76:8e;SLDE-™-2 5GHz;C6_AISLE6;-93.025;348.09319;18.65725569
