BSSID;SSID;Room;Mean;StdDev
00:00:00:00:00:00;;C14_PLEA;-96.0;0.0
00:00:00:00:00:00;;C15_MTG;-96.0;0.0
00:02:6f:a3:b1:cd;;C1_AISLE1;-97.0;0.0
00:02:6f:a5:01:03;EnGenius1;C10_AISLE10;-97.0;0.0
00:02:6f:a5:01:03;EnGenius1;C11_CONF_BTM;-94.64285714285714;3.872448979591836
00:02:6f:a5:01:03;EnGenius1;C12_CONF_TOP;-92.66129032258064;13.869146722164418
00:02:6f:a5:01:03;EnGenius1;C1_AISLE1;-93.65263157894736;4.2056509695290805
00:02:6f:a5:01:03;EnGenius1;C2_AISLE2;-93.11538461538461;5.871301775147926
00:0c:42:e0:7e:6e;RET WIFI;C12_CONF_TOP;-86.0;0.0
00:0c:42:e0:7e:6e;RET WIFI;C15_MTG;-84.0;0.0
00:0c:f6:2b:65:16;coolname;C1_AISLE1;-90.0;0.0
00:0c:f6:6c:cf:94;NaoNet;C10_AISLE10;-84.26666666666667;5.045555555555556
00:0c:f6:6c:cf:94;NaoNet;C12_CONF_TOP;-71.0;0.0
00:0c:f6:6c:cf:94;NaoNet;C16_FLEX_BTM;-67.40833333333333;13.474930555555572
00:0c:f6:6c:cf:94;NaoNet;C17_FLEX_TOP;-72.56666666666666;10.778888888888892
00:0c:f6:6c:cf:94;NaoNet;C1_AISLE1;-77.0;0.0
00:0c:f6:6c:cf:94;NaoNet;C4_AISLE4;-86.33333333333333;5.439613526570044
00:0c:f6:6c:cf:94;NaoNet;C5_AISLE5;-92.0;0.0
00:0c:f6:6c:cf:94;NaoNet;C6_AISLE6;-88.17647058823529;2.262975778546712
00:0c:f6:6c:cf:94;NaoNet;C7_AISLE7;-84.84482758620689;5.246036464526374
00:0c:f6:6c:cf:94;NaoNet;C8_AISLE8;-79.475;14.399375000000013
00:0c:f6:6c:cf:94;NaoNet;C9_AISLE9;-78.57222222222222;12.089228395061744
00:0c:f6:a3:21:98;Sitecoma32198;C13_COFFEE;-82.0;0.0
00:0c:f6:a3:21:98;Sitecoma32198;C14_PLEA;-88.46385542168674;2.8631514007838548
00:0c:f6:a3:21:98;Sitecoma32198;C15_MTG;-86.51666666666667;3.2497222222222253
00:0c:f6:a3:21:98;Sitecoma32198;C1_AISLE1;-90.0;0.0
