BSSID;SSID;room;num_measurements;mean;stddev
00:00:00:00:00:00;;C14_PLEA;60;-96;0
00:00:00:00:00:00;;C15_MTG;60;-96;0
00:02:6f:a3:b1:cd;;C1_AISLE1;18;-97;0
00:02:6f:a5:01:03;EnGenius1;C1_AISLE1;95;-93,65263158;2,061647869
00:02:6f:a5:01:03;EnGenius1;C10_AISLE10;6;-97;0
00:02:6f:a5:01:03;EnGenius1;C11_CONF_BTM;28;-94,64285714;2,003964325
00:02:6f:a5:01:03;EnGenius1;C12_CONF_TOP;62;-92,66129032;3,754531899
00:02:6f:a5:01:03;EnGenius1;C2_AISLE2;26;-93,11538462;2,471063303
00:0c:42:e0:7e:6e;RET WIFI;C12_CONF_TOP;6;-86;0
00:0c:42:e0:7e:6e;RET WIFI;C15_MTG;8;-84;0
00:0c:f6:2b:65:16;coolname;C1_AISLE1;9;-90;0
00:0c:f6:6c:cf:94;NaoNet;C1_AISLE1;1;-77;
00:0c:f6:6c:cf:94;NaoNet;C10_AISLE10;120;-84,26666667;2,255649614
00:0c:f6:6c:cf:94;NaoNet;C12_CONF_TOP;1;-71;
00:0c:f6:6c:cf:94;NaoNet;C16_FLEX_BTM;120;-67,40833333;3,686212862
00:0c:f6:6c:cf:94;NaoNet;C17_FLEX_TOP;120;-72,56666667;3,296887591
00:0c:f6:6c:cf:94;NaoNet;C4_AISLE4;69;-86,33333333;2,349384567
00:0c:f6:6c:cf:94;NaoNet;C5_AISLE5;9;-92;0
00:0c:f6:6c:cf:94;NaoNet;C6_AISLE6;51;-88,17647059;1,519287759
00:0c:f6:6c:cf:94;NaoNet;C7_AISLE7;174;-84,84482759;2,29703295
00:0c:f6:6c:cf:94;NaoNet;C8_AISLE8;120;-79,475;3,810561396
00:0c:f6:6c:cf:94;NaoNet;C9_AISLE9;180;-78,57222222;3,486655415
00:0c:f6:a3:21:98;Sitecoma32198;C1_AISLE1;1;-90;
00:0c:f6:a3:21:98;Sitecoma32198;C13_COFFEE;1;-82;
00:0c:f6:a3:21:98;Sitecoma32198;C14_PLEA;166;-88,46385542;1,697204712
00:0c:f6:a3:21:98;Sitecoma32198;C15_MTG;60;-86,51666667;1,81791151
00:0c:f6:a3:21:98;Sitecoma32198;C2_AISLE2;59;-90,71186441;1,160422745
00:0c:f6:a3:21:98;Sitecoma32198;C3_AISLE3;120;-86,48333333;2,64410978
00:0c:f6:a3:21:98;Sitecoma32198;C4_AISLE4;145;-82,27586207;4,210573263
00:0c:f6:a3:21:98;Sitecoma32198;C5_AISLE5;120;-81,16666667;3,866106402
00:0c:f6:a3:21:98;Sitecoma32198;C6_AISLE6;104;-85,54807692;2,587797383
00:0c:f6:a3:21:98;Sitecoma32198;C7_AISLE7;76;-88,60526316;1,781976037
00:0c:f6:a3:21:98;Sitecoma32198;C8_AISLE8;1;-91;
00:0c:f6:c2:d1:9c;SitecomC2D19C;C10_AISLE10;12;-85,5;1,566698904
00:0c:f6:c2:d1:9c;SitecomC2D19C;C12_CONF_TOP;1;-88;
00:0c:f6:c2:d1:9c;SitecomC2D19C;C16_FLEX_BTM;56;-85,375;4,145369816
00:0c:f6:c2:d1:9c;SitecomC2D19C;C17_FLEX_TOP;15;-89,6;0,507092553
00:0c:f6:c2:d1:9c;SitecomC2D19C;C4_AISLE4;1;-89;
00:0c:f6:c2:d1:9c;SitecomC2D19C;C7_AISLE7;8;-90;0
00:0c:f6:c2:d1:9c;SitecomC2D19C;C8_AISLE8;3;-89;0
00:0e:a6:27:4d:fb;KLINUX;C1_AISLE1;10;-86,2;0,632455532
00:0e:a6:27:4d:fb;KLINUX;C11_CONF_BTM;6;-89;0
00:0e:a6:27:4d:fb;KLINUX;C12_CONF_TOP;64;-84,390625;1,559580606
00:0e:a6:27:4d:fb;KLINUX;C14_PLEA;234;-84,23504274;2,396414211
00:0e:a6:27:4d:fb;KLINUX;C15_MTG;56;-85,44642857;1,438681756
00:0e:a6:27:4d:fb;KLINUX;C2_AISLE2;47;-85,4893617;1,120410259
00:0e:a6:27:4d:fb;KLINUX;C3_AISLE3;9;-90;0
00:11:d8:4c:ce:00;Owen;C1_AISLE1;12;-88,5;0,522232968
00:11:d8:4c:ce:00;Owen;C12_CONF_TOP;6;-91;0
00:13:c3:05:fb:54;tudelft-dastud;C9_AISLE9;9;-76;0
00:14:5c:84:78:a0;Bakkertje;C16_FLEX_BTM;12;-89;3,133397807
00:14:bf:dc:01:ff;;C1_AISLE1;34;-85,67647059;1,918341901
00:15:70:ad:99:c8;94EC1AD878;C1_AISLE1;16;-86,875;1,024695077
00:15:70:ad:99:c8;94EC1AD878;C10_AISLE10;6;-89;0
00:15:70:ad:99:c8;94EC1AD878;C14_PLEA;1;-88;
00:15:70:ad:99:c9;324AF938DB;C1_AISLE1;8;-84,25;2,314550249
00:15:70:ad:99:c9;324AF938DB;C14_PLEA;1;-88;
00:15:70:ad:99:ca;78F01EC46C;C1_AISLE1;15;-90,2;1,014185106
00:15:70:ad:99:ca;78F01EC46C;C10_AISLE10;6;-89;0
00:15:70:ad:99:ca;78F01EC46C;C12_CONF_TOP;7;-93;0
00:15:70:ad:99:ca;78F01EC46C;C14_PLEA;1;-89;
00:15:70:ad:99:cb;5F9949EB17;C1_AISLE1;30;-89,4;1,220514307
00:16:0a:18:95:0c;BALPOL162;C10_AISLE10;15;-86,6;0,507092553
00:16:0a:18:95:0c;BALPOL162;C9_AISLE9;8;-88;0
00:19:aa:76:70:00;;C1_AISLE1;15;-87;0
00:19:aa:76:70:00;;C13_COFFEE;9;-87;0
00:19:aa:76:70:00;;C16_FLEX_BTM;81;-84,0617284;3,191181909
00:19:aa:76:70:00;;C17_FLEX_TOP;12;-89;0
00:19:aa:76:70:00;;C7_AISLE7;11;-88,18181818;1,401298099
00:19:aa:76:70:00;;C8_AISLE8;9;-85;0
00:1b:11:69:55:8f;degeitisgemolken;C10_AISLE10;6;-88;0
00:1b:2b:69:47:d9;Conferentie-TUD;C12_CONF_TOP;6;-90;0
00:1b:2b:69:47:db;tudelft-dastud;C12_CONF_TOP;6;-90;0
00:1b:2b:69:47:db;tudelft-dastud;C14_PLEA;9;-92;0
00:1b:2b:69:47:dc;TUvisitor;C12_CONF_TOP;6;-92;0
00:1b:2b:69:47:df;eduroam;C12_CONF_TOP;6;-92;0
00:1b:90:76:cc:59;Conferentie-TUD;C10_AISLE10;6;-89;0
00:1b:90:76:cc:5b;tudelft-dastud;C10_AISLE10;6;-88;0
00:1b:90:76:cc:5c;TUvisitor;C10_AISLE10;6;-90;0
00:1b:90:76:cc:5f;eduroam;C10_AISLE10;6;-88;0
00:1b:90:76:ce:10;eduroam;C1_AISLE1;10;-81,2;2,529822128
00:1b:90:76:ce:10;eduroam;C12_CONF_TOP;50;-82,34;4,502199009
00:1b:90:76:ce:10;eduroam;C13_COFFEE;29;-78,5862069;2,485920947
00:1b:90:76:ce:10;eduroam;C14_PLEA;300;-71,94666667;2,571484135
00:1b:90:76:ce:10;eduroam;C15_MTG;180;-65,5;3,073585427
00:1b:90:76:ce:10;eduroam;C2_AISLE2;170;-78;2,660248687
00:1b:90:76:ce:10;eduroam;C3_AISLE3;180;-73,00555556;4,171594851
00:1b:90:76:ce:10;eduroam;C4_AISLE4;130;-78,5;2,597703219
00:1b:90:76:ce:10;eduroam;C5_AISLE5;14;-80,28571429;1,540657773
00:1b:90:76:ce:10;eduroam;C8_AISLE8;1;-72;
00:1b:90:76:ce:13;TUvisitor;C1_AISLE1;7;-80,14285714;2,267786838
00:1b:90:76:ce:13;TUvisitor;C11_CONF_BTM;11;-82,63636364;1,566698904
00:1b:90:76:ce:13;TUvisitor;C12_CONF_TOP;56;-80,46428571;1,249935063
00:1b:90:76:ce:13;TUvisitor;C13_COFFEE;33;-80,27272727;2,440193733
00:1b:90:76:ce:13;TUvisitor;C14_PLEA;300;-73,20666667;3,000104049
00:1b:90:76:ce:13;TUvisitor;C15_MTG;180;-67,32777778;3,328949631
00:1b:90:76:ce:13;TUvisitor;C2_AISLE2;163;-79;2,757705255
00:1b:90:76:ce:13;TUvisitor;C3_AISLE3;180;-74,28888889;3,808970431
00:1b:90:76:ce:13;TUvisitor;C4_AISLE4;131;-79,27480916;2,369853728
00:1b:90:76:ce:13;TUvisitor;C5_AISLE5;6;-82;0
00:1b:90:76:ce:13;TUvisitor;C8_AISLE8;1;-75;
00:1b:90:76:ce:14;tudelft-dastud;C1_AISLE1;1;-73;
00:1b:90:76:ce:14;tudelft-dastud;C12_CONF_TOP;66;-79,27272727;1,784940891
00:1b:90:76:ce:14;tudelft-dastud;C13_COFFEE;30;-78,83333333;2,182743186
00:1b:90:76:ce:14;tudelft-dastud;C14_PLEA;300;-71,26;2,99035238
00:1b:90:76:ce:14;tudelft-dastud;C15_MTG;180;-65,51111111;3,463277243
00:1b:90:76:ce:14;tudelft-dastud;C2_AISLE2;155;-76,65806452;2,963936286
00:1b:90:76:ce:14;tudelft-dastud;C3_AISLE3;180;-72,13888889;3,995477735
00:1b:90:76:ce:14;tudelft-dastud;C4_AISLE4;141;-77,9929078;2,303712699
00:1b:90:76:ce:14;tudelft-dastud;C5_AISLE5;7;-81;0
00:1b:90:76:ce:14;tudelft-dastud;C8_AISLE8;1;-75;
00:1b:90:76:ce:16;Conferentie-TUD;C1_AISLE1;1;-75;
00:1b:90:76:ce:16;Conferentie-TUD;C11_CONF_BTM;6;-81;0
00:1b:90:76:ce:16;Conferentie-TUD;C12_CONF_TOP;53;-80,50943396;1,760928967
00:1b:90:76:ce:16;Conferentie-TUD;C13_COFFEE;29;-79,51724138;2,798222518
00:1b:90:76:ce:16;Conferentie-TUD;C14_PLEA;300;-72,48;2,789660796
00:1b:90:76:ce:16;Conferentie-TUD;C15_MTG;180;-66,51666667;3,292916047
00:1b:90:76:ce:16;Conferentie-TUD;C2_AISLE2;153;-77,56862745;2,347352108
00:1b:90:76:ce:16;Conferentie-TUD;C3_AISLE3;180;-73,21111111;3,840374878
00:1b:90:76:ce:16;Conferentie-TUD;C4_AISLE4;139;-78,79856115;2,514248832
00:1b:90:76:ce:16;Conferentie-TUD;C5_AISLE5;6;-81;0
00:1b:90:76:ce:16;Conferentie-TUD;C8_AISLE8;1;-78;
00:1b:90:76:d3:f0;eduroam;C1_AISLE1;172;-75,86046512;2,886397989
00:1b:90:76:d3:f0;eduroam;C10_AISLE10;178;-71,17977528;1,977625111
00:1b:90:76:d3:f0;eduroam;C11_CONF_BTM;5;-75;0
00:1b:90:76:d3:f0;eduroam;C12_CONF_TOP;1;-73;
00:1b:90:76:d3:f0;eduroam;C13_COFFEE;122;-70,94262295;4,02533132
00:1b:90:76:d3:f0;eduroam;C14_PLEA;50;-73,78;5,051934364
00:1b:90:76:d3:f0;eduroam;C15_MTG;135;-74,54814815;3,672647015
00:1b:90:76:d3:f0;eduroam;C16_FLEX_BTM;218;-75,62385321;2,811395478
00:1b:90:76:d3:f0;eduroam;C17_FLEX_TOP;55;-77,30909091;3,635589143
00:1b:90:76:d3:f0;eduroam;C2_AISLE2;176;-74,45454545;2,148270219
00:1b:90:76:d3:f0;eduroam;C3_AISLE3;171;-70,8245614;4,35264412
00:1b:90:76:d3:f0;eduroam;C4_AISLE4;240;-66,40833333;3,873514472
00:1b:90:76:d3:f0;eduroam;C5_AISLE5;120;-60,31666667;2,550278724
00:1b:90:76:d3:f0;eduroam;C6_AISLE6;180;-47,77222222;2,046472795
00:1b:90:76:d3:f0;eduroam;C7_AISLE7;240;-58,90833333;3,289378961
00:1b:90:76:d3:f0;eduroam;C8_AISLE8;180;-68,52222222;2,450528516
00:1b:90:76:d3:f0;eduroam;C9_AISLE9;239;-70,05020921;2,718901695
00:1b:90:76:d3:f3;TUvisitor;C1_AISLE1;174;-76,06896552;2,680665535
00:1b:90:76:d3:f3;TUvisitor;C10_AISLE10;178;-71,94382022;3,362671626
00:1b:90:76:d3:f3;TUvisitor;C12_CONF_TOP;1;-77;
00:1b:90:76:d3:f3;TUvisitor;C13_COFFEE;20;-74,55;3,103054522
00:1b:90:76:d3:f3;TUvisitor;C14_PLEA;28;-78,21428571;5,26594329
00:1b:90:76:d3:f3;TUvisitor;C15_MTG;154;-77,6038961;4,062290849
00:1b:90:76:d3:f3;TUvisitor;C16_FLEX_BTM;220;-76,38636364;2,820472362
